turbine,sensor,time_stamp,name,component,characteristic,target_frequency_hz,amplitude
data-WTG515,7,1454750700000,1454760000000_1454750700000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFO,57.15407236255572,0.00018705603336548166
data-WTG515,7,1454750700000,1454760000000_1454750700000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,83.38872852897474,0.00022504868016692627
data-WTG515,7,1454750700000,1454760000000_1454750700000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,FTF,6.3556577736503215,0.002478467001480661
data-WTG515,7,1454750700000,1454760000000_1454750700000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,BSF2,80.70279944526993,0.0001783590632721811
data-WTG515,7,1459036800000,1459036800000_1459036800000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFO,43.60907946508173,0.0008305211903124138
data-WTG515,7,1459036800000,1459036800000_1459036800000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,63.62636184249629,0.0014843963873983782
data-WTG515,7,1459036800000,1459036800000_1459036800000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,FTF,4.849424956909361,0.0004748857643067754
data-WTG515,7,1459036800000,1459036800000_1459036800000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BSF2,61.57697340861813,0.00039072105946337527
data-WTG515,7,1454862300000,1454868000000_1454862300000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFO,64.53913842496286,0.0003014507357123434
data-WTG515,7,1454862300000,1454868000000_1454862300000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,94.1636609806835,7.757052789510269e-05
data-WTG515,7,1454862300000,1454868000000_1454862300000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,FTF,7.176893262010896,0.0030131690840727184
data-WTG515,7,1454862300000,1454868000000_1454862300000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,BSF2,91.13067414759783,0.00020356607203323045
data-WTG515,7,1454781000000,1454781600000_1454781000000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFO,59.713554413075784,0.00020318038532245628
data-WTG515,7,1454781000000,1454781600000_1454781000000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,87.12305479940564,9.768671583906305e-05
data-WTG515,7,1454781000000,1454781600000_1454781000000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,FTF,6.6402777721644375,0.0024770607684988033
data-WTG515,7,1454781000000,1454781600000_1454781000000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BSF2,84.31684404556711,0.00024057921177694292
data-WTG515,7,1454932800000,1454932800000_1454932800000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFO,44.94620762258544,0.000998780503532295
data-WTG515,7,1454932800000,1454932800000_1454932800000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,65.57725374442794,0.001884574084160465
data-WTG515,7,1454932800000,1454932800000_1454932800000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,FTF,4.9981165307082716,0.0004905639005930617
data-WTG515,7,1454932800000,1454932800000_1454932800000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BSF2,63.46502759385835,0.00048765854232321674
data-WTG515,7,1454800500000,1454803200000_1454800500000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFO,68.26225756315007,0.0003302592663409845
data-WTG515,7,1454800500000,1454803200000_1454800500000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,99.59575283803862,0.005257036846096306
data-WTG515,7,1454800500000,1454803200000_1454800500000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,FTF,7.590912248142644,0.0014199336917672073
data-WTG515,7,1454800500000,1454803200000_1454800500000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BSF2,96.38779975037146,0.0002458637245368734
data-WTG515,7,1459074600000,1459080000000_1459074600000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFO,10.633585260029719,0.002505266916847811
data-WTG515,7,1459074600000,1459080000000_1459074600000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,15.514575215453194,0.0012544612522735735
data-WTG515,7,1459074600000,1459080000000_1459074600000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,FTF,1.1824779237246161,0.0029887062552595204
data-WTG515,7,1459074600000,1459080000000_1459074600000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BSF2,15.014854815255077,0.000856171436292955
data-WTG515,7,1454841900000,1454846400000_1454841900000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFO,54.34144665676077,0.0001545884326081948
data-WTG515,7,1454841900000,1454846400000_1454841900000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,79.28506151560178,0.0001555639029489935
data-WTG515,7,1454841900000,1454846400000_1454841900000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,FTF,6.042887647350173,0.0011438668730371106
data-WTG515,7,1454841900000,1454846400000_1454841900000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BSF2,76.73131047052996,7.225365529622272e-05
data-WTG515,7,1454954400000,1454954400000_1454954400000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFO,46.8093470282318,0.0008529360309982654
data-WTG515,7,1454954400000,1454954400000_1454954400000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,68.29560468053491,0.0004650902032553242
data-WTG515,7,1454954400000,1454954400000_1454954400000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,FTF,5.205301705052006,0.000219771408208673
data-WTG515,7,1454954400000,1454954400000_1454954400000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BSF2,66.0958211589896,0.0009234926359670572
data-WTG515,7,1454738400000,1454738400000_1454738400000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFO,47.01818365527489,0.0006419801023372033
data-WTG515,7,1454738400000,1454738400000_1454738400000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,68.60030074294205,0.000350649952298672
data-WTG515,7,1454738400000,1454738400000_1454738400000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,FTF,5.228524794452699,0.0005514981466074457
data-WTG515,7,1454738400000,1454738400000_1454738400000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BSF2,66.39070304110946,0.0008430711548462466
data-WTG515,7,1454975400000,1454976000000_1454975400000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFO,58.185402897474,0.0010828231649817343
data-WTG515,7,1454975400000,1454976000000_1454975400000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,84.89345668647846,0.0001041306446621314
data-WTG515,7,1454975400000,1454976000000_1454975400000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,FTF,6.470343983407627,0.0013799731722214813
data-WTG515,7,1454975400000,1454976000000_1454975400000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BSF2,82.15906070331847,0.00016367362657124834
data-WTG515,7,1454824500000,1454824800000_1454824500000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFO,62.10509340267459,0.0009560719530221157
data-WTG515,7,1454824500000,1454824800000_1454824500000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,90.61234939078751,0.00017154074707964554
data-WTG515,7,1454824500000,1454824800000_1454824500000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,FTF,6.906222135215453,0.0020481800165604645
data-WTG515,7,1454824500000,1454824800000_1454824500000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BSF2,87.69374937295692,8.388213593403529e-05
data-WTG515,7,1454831100000,1454846400000_1454831100000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFO,54.34144665676077,7.550576467268695e-05
data-WTG515,7,1454831100000,1454846400000_1454831100000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,79.28506151560178,6.637906763974943e-05
