turbine,sensor,time_stamp,name,component,characteristic,target_frequency_hz,amplitude
data-WTG511,1,1452340800000,1452340800000_1452340800000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,43752.8360998316,
data-WTG511,1,1452340800000,1452340800000_1452340800000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,58647.418601901925,
data-WTG511,1,1452340800000,1452340800000_1452340800000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,465.45570318969783,4.622640340396066e-05
data-WTG511,1,1452340800000,1452340800000_1452340800000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,34319.63154556727,
data-WTG511,1,1452362400000,1452362400000_1452358200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,49003.74493013274,
data-WTG511,1,1452362400000,1452362400000_1452358200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,65685.87086379495,
data-WTG511,1,1452362400000,1452362400000_1452358200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,521.316435426944,0.00011997511428097627
data-WTG511,1,1452362400000,1452362400000_1452358200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,38438.43325990904,
data-WTG511,1,1452362400000,1452362400000_1452360300000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,49000.23801281822,
data-WTG511,1,1452362400000,1452362400000_1452360300000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,65681.17010228825,
data-WTG511,1,1452362400000,1452362400000_1452360300000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,521.2791277959385,6.679002896891004e-05
data-WTG511,1,1452362400000,1452362400000_1452360300000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,38435.68244142905,
data-WTG511,1,1452254400000,1452254400000_1452254400000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,68903.77784448735,
data-WTG511,1,1452254400000,1452254400000_1452254400000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,92360.38306814263,
data-WTG511,1,1452254400000,1452254400000_1452254400000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,733.0189132392272,4.9334038248524796e-05
data-WTG511,1,1452254400000,1452254400000_1452254400000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,54047.97673743324,
data-WTG511,1,1452276000000,1452276000000_1452276000000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,69913.83070245665,
data-WTG511,1,1452276000000,1452276000000_1452276000000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,93714.28370754828,
data-WTG511,1,1452276000000,1452276000000_1452276000000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,743.7641564091133,8.405112965109544e-05
data-WTG511,1,1452276000000,1452276000000_1452276000000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,54840.26005017572,
data-WTG511,1,1452297600000,1452297600000_1452297600000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,62259.169316602274,
data-WTG511,1,1452297600000,1452297600000_1452297600000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,83453.78014778602,
data-WTG511,1,1452297600000,1452297600000_1452297600000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,662.3315884744923,0.00012752765798963397
data-WTG511,1,1452297600000,1452297600000_1452297600000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,48835.95994562513,
data-WTG511,1,1452319200000,1452319200000_1452319200000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,46904.91642116889,
data-WTG511,1,1452319200000,1452319200000_1452319200000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,62872.547543268935,
data-WTG511,1,1452319200000,1452319200000_1452319200000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,498.98847256562647,5.399602248992894e-05
data-WTG511,1,1452319200000,1452319200000_1452319200000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,36792.11664307037,
data-WTG511,1,1452016800000,1452016800000_1452016800000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,50459.59395777117,
data-WTG511,1,1452016800000,1452016800000_1452016800000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,67637.32807105497,
data-WTG511,1,1452016800000,1452016800000_1452016800000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,536.8041910401188,0.00010725032914010664
data-WTG511,1,1452016800000,1452016800000_1452016800000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,39580.398139637495,
data-WTG511,1,1452038400000,1452038400000_1452038400000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,45978.641873769186,
data-WTG511,1,1452038400000,1452038400000_1452038400000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,61630.94549037146,
data-WTG511,1,1452038400000,1452038400000_1452038400000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,489.1344880188211,6.353161114800603e-05
data-WTG511,1,1452038400000,1452038400000_1452038400000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,36065.54885888695,
data-WTG511,1,1452060000000,1452060000000_1452060000000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,45575.76164866765,
data-WTG511,1,1452060000000,1452060000000_1452060000000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,61090.914550341746,
data-WTG511,1,1452060000000,1452060000000_1452060000000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,484.8485281773154,5.0387237734612985e-05
data-WTG511,1,1452060000000,1452060000000_1452060000000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,35749.53046750927,
data-WTG511,1,1452254400000,1452254400000_1452250200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,68903.66686023773,
data-WTG511,1,1452254400000,1452254400000_1452250200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,92360.23430202079,
data-WTG511,1,1452254400000,1452254400000_1452250200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,733.0177325557206,6.738782847481938e-05
data-WTG511,1,1452254400000,1452254400000_1452250200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,54047.88968162397,
data-WTG511,1,1452384000000,1452384000000_1452384000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,69658.18588238732,
data-WTG511,1,1452384000000,1452384000000_1452384000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,93371.61086362555,
data-WTG511,1,1452384000000,1452384000000_1452384000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,741.0445306636949,4.829896771203709e-05
data-WTG511,1,1452384000000,1452384000000_1452384000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,54639.73279723848,
data-WTG511,1,1452405600000,1452405600000_1452405600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,71336.63953400693,
data-WTG511,1,1452405600000,1452405600000_1452405600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,95621.45299239225,
data-WTG511,1,1452405600000,1452405600000_1452405600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,758.9004205745417,6.826908917332634e-05
data-WTG511,1,1452405600000,1452405600000_1452405600000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,55956.30827039092,
data-WTG511,1,1452427200000,1452427200000_1452427200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,71572.20175410599,
data-WTG511,1,1452427200000,1452427200000_1452427200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,95937.2066065676,
data-WTG511,1,1452427200000,1452427200000_1452427200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,761.4064016394254,9.812363874353542e-05
data-WTG511,1,1452427200000,1452427200000_1452427200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,56141.08277464042,
data-WTG511,1,1452686400000,1452686400000_1452686400000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,70666.33351073798,
data-WTG511,1,1452686400000,1452686400000_1452686400000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,94722.95768460624,
data-WTG511,1,1452686400000,1452686400000_1452686400000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,751.7695054333828,7.972957319788601e-05
data-WTG511,1,1452686400000,1452686400000_1452686400000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,55430.521651921794,
data-WTG511,1,1452708000000,1452708000000_1452708000000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,69632.24886324913,
